date, pm25, pm10, o3, no2, so2, co
2020-01-06, 44, 43, 21, 10, 1, 5
2020-01-07, 123, 23, 18, 6, 1, 3
2020-01-08, 65, 34, 12, 7, 1, 6
2020-01-09, 75, 29, 11, 7, 1, 6
2020-01-13, 179, 59, 16, 6, 4, 5
2020-01-14, 181, 27, 17, 5, 2, 4
2020-01-15, 75, 18, 14, 5, 2, 3
2020-01-16, 63, 35, 20, 7, 5, 4
2020-01-17, 99, 33, 19, 8, 3, 5
2020-01-18, 92, 79, 19, 6, 1, 4
2020-01-19, 261, 187, 9, 5, 2, 3
2020-01-20, 281, 30, 9, 6, 3, 4
2020-01-21, 85, 44, 15, 6, 3, 5
2020-01-22, 121, 50, 17, 6, 1, 5
2020-01-23, 174, 32, 17, 7, 1, 5
2020-01-24, 99, 29, 14, 7, 1, 4
2020-01-25, 83, 19, 20, 5, 1, 3
2020-01-26, 72, 32, 13, 4, 1, 3
2020-01-27, 95, 26, 15, 7, 2, 2
2020-01-29, 83, 38, 16, 8, 1, 3
2020-01-30, 102, 43, 21, 9, 1, 2
2020-02-01, 49, 28, 13, 9, 1, 3
2019-11-02, 73, 20, 20, 6, 1, 4
2019-11-04, 65, 24, 20, 9, 1, 3
2019-11-08, 57, 23, 15, 9, 2, 4
2019-11-09, 60, 30, 19, 5, 1, 3
2019-11-10, 71, 23, 23, 4, 1, 2
2019-11-11, 71, 22, 21, 6, 1, 4
2019-11-12, 64, 23, 21, 6, 1, 3
2019-11-13, 78, 16, 19, 6, 1, 3
2019-11-14, 62, 17, 17, 5, 1, 2
2019-11-15, 43, 21, 18, 8, 8, 1
2019-11-16, 55, 19, 19, 8, 6, 2
2019-11-17, 49, 29, 20, 6, 2, 1
2019-11-18, 62, 38, 18, 8, 1, 2
2019-11-19, 85, 17, 18, 5, 1, 2
2019-11-21, 71, 43, 17, 9, 1, 7
2019-11-23, 50, 22, 22, 5, 1, 3
2019-11-24, 72, 14, 22, 6, 1, 3
2019-11-25, 55, 26, 22, 9, 1, 3
2019-11-26, 73, 31, 23, 10, 1, 3
2019-11-27, 71, 121, 19, 10, 1, 4
2019-11-29, 107, 45, 20, 13, 2, 4
2019-11-30, 67, 31, 18, 11, 1, 2
2019-12-01, 78, 25, 22, 9, 1, 1
2019-12-02, 57, 22, 22, 8, 1, 3
2019-12-03, 45, 42, 16, 6, 1, 3
2019-12-04, 90, 18, 4, 8, 4, 3
2019-12-05, 41, 13, 3, 7, 2, 4
2019-12-06, 44, 3, 7, 7, 1, 7
2019-12-07, 35, 36, 6, 14, 3, 10
2019-12-08, 86, 54, 7, 6, 3, 7
2019-12-09, 194, 46, 5, 10, 2, 12
2019-12-11, 57, 9, 15, 7, 2, 12
2019-12-12, 49, 23, 15, 7, 5, 10
2019-12-13, 80, 27, 13, 6, 4, 11
2019-12-14, 77, 24, 13, 5, 2, 10
2019-12-15, 58, 24, 16, 4, 2, 9
2019-12-16, 102, 33, 19, 7, 4, 8
2019-12-17, 63, 28, 13, 5, 2, 9
2019-12-18, 67, 34, 15, 6, 2, 10
2019-12-19, 108, 35, 14, 8, 2, 11
2019-12-20, 86, 31, 17, 10, 2, 9
2019-12-22, 93, 43, 13, 6, 1, 3
2019-12-23, 99, 35, 14, 8, 1, 4
2019-12-24, 156, 40, 14, 9, 1, 6
2019-12-25, 174, 33, 17, 5, 1, 3
2019-12-26, 189, 28, 21, 5, 1, 2
2019-12-27, 180, 24, 19, 5, 1, 2
2019-12-28, 62, 30, 10, 5, 2, 3
