date,pm25,pm10,o3,no2,so2,co,AQI
2019-06-04,121,65,87,24,3,10,121
2019-06-05,131,59,106,21,3,11,131
2019-06-06,134,22,60,12,2,9,134
2019-06-07,64,39,98,26,5,14,98
2019-06-08,97,49,85,24,5,11,97
2019-06-09,121,65,93,40,2,12,121
2019-06-10,134,69,95,29,2,12,134
2019-06-11,133,56,91,21,3,9,133
2019-06-12,106,50,74,22,3,10,106
2019-06-14,124,59,113,29,4,11,124
2019-06-15,128,66,104,29,5,10,128
2019-06-16,125,51,48,21,7,11,125
2019-06-17,108,27,34,16,3,10,108
2019-06-18,86,25,46,15,2,11,86
2019-06-19,76,33,39,17,3,13,76
2019-06-20,89,37,46,16,4,11,89
2019-06-21,87,21,24,13,3,16,87
2019-06-22,57,21,27,18,4,20,57
2019-06-25,115,62,101,30,4,10,115
2019-06-26,128,65,110,25,7,12,128
2019-06-27,147,68,103,31,5,11,147
2019-06-28,148,61,47,20,5,10,148
2019-06-29,127,22,45,13,2,9,127
2019-06-30,68,33,71,18,3,7,71
2019-07-01,78,51,78,26,3,11,78
2019-07-02,91,62,130,31,7,15,130
2019-07-03,127,64,117,32,5,13,127
2019-07-04,131,60,41,26,4,10,131
2019-07-05,121,60,64,27,3,9,121
2019-07-06,138,48,56,20,2,9,138
2019-07-07,97,56,90,25,4,12,97
2019-07-08,107,56,64,20,4,14,107
2019-07-09,106,35,45,11,3,9,106
2019-07-10,85,40,82,22,4,11,85
2019-07-11,93,51,81,25,5,11,93
2019-07-12,114,42,37,21,3,18,114
2019-07-13,107,24,39,13,2,7,107
2019-07-14,74,49,78,20,3,9,78
2019-07-15,110,44,68,21,4,10,110
2019-07-16,98,43,76,24,3,10,98
2019-07-17,89,54,47,24,3,11,89
2019-07-18,109,37,45,17,4,15,109
2019-07-19,87,34,43,14,2,8,87
2019-07-20,89,46,90,25,3,9,90
2019-07-21,91,50,69,29,5,10,91
2019-07-22,126,56,59,27,2,8,126
2019-07-23,114,45,45,18,2,7,114
2019-07-24,79,53,56,18,2,9,79
2019-07-25,77,47,51,22,2,7,77
2019-07-26,104,51,52,22,2,6,104
2019-07-27,80,46,50,15,2,7,80
2019-07-28,81,48,46,16,1,7,81
2019-07-29,82,48,50,14,2,7,82
2019-07-30,92,38,49,18,2,8,92
2019-07-31,78,48,83,23,4,9,83
2019-08-01,108,48,69,21,3,9,108
2019-08-02,92,49,60,20,8,14,92
2019-08-03,91,43,78,18,4,12,91
2019-08-04,86,47,106,20,6,12,106
2019-08-05,91,52,101,29,4,9,101
2019-08-06,109,52,103,24,5,11,109
2019-08-07,111,51,82,23,4,16,111
2019-08-08,108,42,70,17,3,11,108
2019-08-09,92,48,63,15,2,8,92
2019-08-10,117,29,32,9,2,6,117
2019-08-11,76,30,62,9,2,8,76
2019-08-12,94,42,91,20,3,8,94
2019-08-13,93,54,104,29,6,12,104
2019-08-14,118,54,97,20,5,11,118
2019-08-15,122,51,87,26,4,11,122
2019-08-16,113,58,96,30,3,8,113
2019-08-17,115,72,143,32,8,12,143
2019-08-18,146,66,109,18,9,14,146
2019-08-19,133,53,105,20,9,12,133
2019-08-20,111,61,132,26,8,12,132
2019-08-21,147,79,104,35,6,11,147
2019-08-22,145,62,76,14,4,11,145
2019-08-23,151,73,108,23,7,15,151
2019-08-24,159,65,111,24,11,18,159
2019-08-25,149,57,104,21,10,19,149
2019-08-26,120,44,56,12,6,13,120
2019-08-27,102,45,78,18,5,13,102
2019-08-28,91,25,41,13,2,10,91
2019-08-29,71,41,112,22,6,13,112
2019-08-30,98,54,86,20,9,15,98
2019-08-31,103,47,65,23,11,14,103
2019-09-01,78,49,50,26,6,10,78
2019-09-02,118,53,95,23,8,12,118
2019-09-03,121,42,65,16,7,14,121
2019-09-04,93,51,76,18,8,12,93
2019-09-05,117,55,119,25,10,25,119
2019-09-06,107,52,84,18,6,15,107
2019-09-07,94,60,110,25,6,11,110
2019-09-08,95,65,102,38,7,13,102
2019-09-09,129,65,115,31,8,15,129
2019-09-10,142,65,112,23,8,17,142
2019-09-11,142,59,111,25,13,15,142
2019-09-12,122,68,125,26,6,13,125
2019-09-13,144,66,115,16,8,11,144
2019-09-14,134,49,59,8,5,9,134
2019-09-15,89,54,52,11,4,10,89
2019-09-16,112,48,37,11,4,8,112
2019-09-17,97,46,35,12,5,9,97
2019-09-18,90,46,29,13,4,8,90
2019-09-19,108,62,86,21,9,13,108
2019-09-20,125,44,54,16,5,8,125
2019-09-21,66,47,68,16,5,5,68
2019-09-22,77,54,69,17,6,6,77
2019-09-23,87,52,74,24,7,7,87
2019-09-24,89,57,90,39,9,10,90
2019-09-25,102,69,73,56,12,12,102
2019-09-26,126,81,95,52,10,13,126
2019-09-27,144,66,75,42,10,12,144
2019-09-28,123,69,108,39,11,13,123
2019-09-29,135,78,108,53,10,13,135
2019-09-30,151,69,102,45,11,13,151
2019-10-01,139,61,110,30,12,12,139
2019-10-02,118,56,87,24,8,11,118
2019-10-03,118,63,101,35,9,12,118
2019-10-04,143,74,114,33,9,12,143
2019-10-05,150,51,39,9,3,7,150
2019-10-06,105,28,14,13,3,8,105
2019-10-07,69,21,33,11,3,5,69
2019-10-08,46,21,33,12,4,7,46
2019-10-09,57,38,42,22,6,10,57
2019-10-10,83,62,33,28,5,11,83
2019-10-11,137,32,29,17,3,8,137
2019-10-12,68,43,27,15,3,9,68
2019-10-13,110,42,29,16,3,9,110
2019-10-14,113,56,40,13,5,10,113
2019-10-15,113,49,48,14,4,7,113
2019-10-16,92,33,32,14,4,8,92
2019-10-17,77,45,44,16,4,6,77
2019-10-18,107,48,62,27,7,9,107
2019-10-19,115,55,69,42,5,12,115
2019-10-20,133,63,69,48,6,13,133
2019-10-21,143,66,77,50,6,14,143
2019-10-22,144,60,39,30,6,11,144
2019-10-23,137,48,47,25,6,14,137
2019-10-24,115,53,53,34,5,13,115
2019-10-25,121,44,23,15,4,6,121
2019-10-26,88,48,20,17,4,5,88
2019-10-27,86,53,23,22,4,6,86
2019-10-28,122,51,34,25,5,7,122
2019-10-29,120,59,13,34,4,10,120
2019-10-30,140,108,47,41,9,12,140
2019-10-31,132,104,56,54,7,15,132
2019-11-01,157,94,59,52,6,12,157
2019-11-02,152,95,47,55,7,12,152
2019-11-03,158,91,62,25,6,9,158
2019-11-04,157,90,45,16,4,9,157
2019-11-05,175,79,50,34,10,15,175
2019-11-06,165,72,43,35,7,11,165
2019-11-07,147,69,56,26,5,8,147
2019-11-08,136,72,58,42,12,19,136
2019-11-09,153,82,54,48,7,11,153
2019-11-10,160,85,44,44,7,10,160
2019-11-11,152,81,48,47,7,11,152
2019-11-12,151,69,40,26,7,10,151
2019-11-13,140,59,26,24,4,8,140
2019-11-14,104,56,27,31,5,7,104
2019-11-15,84,67,34,39,10,10,84
2019-11-16,116,94,29,53,12,14,116
2019-11-17,152,89,21,32,5,12,152
2019-11-18,174,57,26,16,3,5,174
2019-11-19,83,76,20,28,6,8,83
2019-11-20,111,72,26,33,6,7,111
2019-11-21,120,81,15,41,9,10,120
2019-11-22,150,101,35,48,10,13,150
2019-11-23,159,88,18,51,10,13,159
2019-11-24,155,112,24,30,6,12,155
2019-11-25,184,29,19,11,3,6,184
2019-11-26,80,37,11,16,4,10,80
2019-11-27,98,24,17,14,3,7,98
2019-11-28,80,73,14,23,14,12,80
2019-11-29,164,57,20,23,6,9,164
2019-11-30,119,53,12,22,4,6,119
2019-12-01,143,67,21,22,4,8,143
2019-12-02,164,76,27,34,10,13,164
2019-12-03,161,82,17,48,5,16,161
2019-12-04,162,89,25,52,7,18,162
2019-12-05,162,73,30,40,7,13,162
2019-12-06,140,85,35,38,11,13,140
2019-12-07,178,84,34,44,9,12,178
