date,pm25,pm10,o3,no2,so2,co,AQI
2020-06-10,33,19,26,22,2,3,33
2020-06-11,36,16,31,14,3,3,36
2020-06-12,48,25,28,17,4,4,48
2020-06-13,64,16,31,16,4,4,64
2020-06-14,43,16,33,19,4,4,43
2020-06-15,50,12,32,24,4,4,50
2020-06-16,45,13,33,24,4,3,45
2020-06-17,42,14,29,28,4,4,42
2020-06-18,48,13,34,25,4,4,48
2020-06-19,46,15,28,19,4,3,46
2020-06-20,47,14,24,19,3,3,47
2020-06-21,37,13,22,15,4,2,37
2020-06-22,36,22,29,22,3,3,36
2020-06-23,46,23,41,28,3,3,46
2020-06-24,42,31,73,32,5,3,73
2020-06-25,55,32,71,31,6,3,71
2020-06-26,51,28,51,30,6,3,51
2020-06-27,58,11,24,15,6,4,58
2020-06-28,27,12,20,13,6,3,27
2020-06-29,25,15,24,18,5,3,25
2020-06-30,27,13,20,18,4,4,27
2020-07-01,30,15,18,18,7,5,30
2020-07-02,44,14,21,21,6,4,44
2020-07-03,40,16,25,16,6,4,40
2020-07-04,43,11,19,8,7,4,43
2020-07-05,44,15,24,8,7,4,44
2020-07-06,39,14,23,13,4,4,39
2020-07-07,35,14,24,23,5,4,35
2020-07-08,43,11,11,13,6,5,43
2020-07-09,46,13,18,12,4,5,46
2020-07-19,44,9,23,11,1,1,44
2020-07-23,50,19,39,26,1,1,50
2020-07-24,47,16,22,20,2,1,47
2020-07-25,45,11,14,9,2,1,45
