date, pm25, pm10, o3, no2, so2, co
6/26/14,128,32,52,22,24,7
6/27/14,108,51,39,25,9,8
6/28/14,122,71,57,32,13,12
6/29/14,156,90,60,45,14,11
6/30/14,216,90,89,39,18,14
7/1/14,183,78,56,31,18,13
7/2/14,166,67,66,34,14,10
7/3/14,155,83,127,33,37,15
7/4/14,180,59,49,28,16,13
7/5/14,119,39,62,19,14,10
7/6/14,93,57,105,31,15,10
7/7/14,117,81,107,35,22,14
7/8/14,159,97,121,38,23,15
7/9/14,158,108,119,48,14,14
7/10/14,168,107,142,49,16,16
7/11/14,174,117,106,35,20,21
7/12/14,176,61,59,36,16,9
7/13/14,160,47,60,30,13,7
7/14/14,100,62,75,30,14,8
7/15/14,131,56,51,28,28,9
7/16/14,109,47,48,22,20,8
7/17/14,76,51,48,26,15,13
7/18/14,110,81,87,30,15,15
7/19/14,140,89,102,34,12,14
7/20/14,129,79,93,34,16,13
7/21/14,133,97,91,37,16,16
7/22/14,131,132,146,51,14,13
7/23/14,300,143,96,41,11,13
7/24/14,305,121,113,19,14,10
7/25/14,215,96,112,28,13,10
7/26/14,161,90,101,33,10,10
7/27/14,147,118,164,48,16,16
7/28/14,166,128,112,50,15,12
7/29/14,172,81,79,35,17,9
7/30/14,141,76,92,34,13,8
7/31/14,143,81,100,36,22,13
8/1/14,138,64,80,20,11,9
8/2/14,139,54,64,19,13,11
8/3/14,157,85,91,34,15,11
8/4/14,123,98,130,40,22,13
8/5/14,160,91,112,32,27,14
8/6/14,155,82,128,31,20,20
8/7/14,137,61,70,14,10,13
8/8/14,136,44,70,16,17,12
8/9/14,99,80,67,20,11,11
8/10/14,151,90,91,20,13,12
8/11/14,164,56,47,20,11,11
8/12/14,132,56,52,21,12,11
8/13/14,154,37,79,18,13,8
8/14/14,104,50,76,28,17,12
8/15/14,110,100,131,45,25,18
8/16/14,170,93,80,44,21,15
8/17/14,169,56,52,24,21,18
8/18/14,143,59,39,25,22,9
8/19/14,144,69,84,25,15,11
8/20/14,151,96,107,33,16,13
8/21/14,164,107,112,37,22,13
8/22/14,248,107,113,40,21,11
8/23/14,228,137,97,38,22,12
8/24/14,171,68,73,23,13,12
8/25/14,137,81,108,43,18,12
8/26/14,161,91,52,47,12,15
8/27/14,177,62,59,26,13,12
8/28/14,167,62,79,25,14,14
8/29/14,181,60,70,27,13,18
8/30/14,165,89,104,28,20,20
8/31/14,146,59,65,23,16,19
9/1/14,121,38,48,18,13,14
9/2/14,148,47,39,24,13,10
9/3/14,104,50,87,23,14,9
9/4/14,118,86,112,46,25,16
9/5/14,151,117,112,54,18,14
9/6/14,171,123,121,52,22,16
9/7/14,175,133,101,52,18,15
9/8/14,176,127,97,40,17,16
9/9/14,262,73,70,26,17,19
9/10/14,147,77,46,24,21,16
9/11/14,155,82,78,28,26,12
9/12/14,163,59,41,26,15,12
9/13/14,175,35,45,15,9,8
9/14/14,113,71,71,31,15,13
9/15/14,136,56,42,21,10,13
9/16/14,121,55,82,24,16,14
9/17/14,109,66,68,18,11,11
9/18/14,126,20,33,17,9,10
9/19/14,60,30,50,19,16,12
9/20/14,167,59,90,33,12,12
9/21/14,222,90,96,42,20,17
9/22/14,155,67,76,32,28,17
9/23/14,141,64,72,24,23,8
9/24/14,118,72,105,24,12,10
9/25/14,123,109,70,42,20,18
9/26/14,173,108,90,43,21,14
9/27/14,260,150,97,42,28,15
9/28/14,179,108,103,25,24,12
9/29/14,176,45,61,15,16,11
9/30/14,116,51,60,16,11,11
10/1/14,119,75,56,29,22,17
10/2/14,184,72,70,27,13,12
10/3/14,150,111,85,46,26,15
10/4/14,158,112,102,41,27,14
10/5/14,161,158,103,31,16,13
10/6/14,207,133,93,26,24,16
10/7/14,224,113,109,46,31,19
10/8/14,173,111,124,47,37,16
10/9/14,174,152,124,62,28,19
10/10/14,184,103,101,42,21,15
10/11/14,166,92,97,35,16,13
10/12/14,165,129,89,20,15,10
10/13/14,211,88,59,19,12,8
10/14/14,157,94,85,35,19,12
10/15/14,166,152,122,69,23,16
10/16/14,194,170,59,73,36,20
10/17/14,229,168,71,56,27,18
10/18/14,244,204,52,73,30,21
10/19/14,245,207,100,63,38,18
10/20/14,229,191,106,54,28,19
10/21/14,269,53,51,20,13,13
10/22/14,144,82,62,39,19,14
10/23/14,170,118,76,50,28,19
10/24/14,178,191,89,61,35,22
10/25/14,210,177,91,61,32,19
10/26/14,195,270,92,64,39,22
10/27/14,227,154,67,28,17,16
10/28/14,250,91,44,30,23,21
10/29/14,184,45,40,23,19,15
10/30/14,156,25,31,21,14,11
10/31/14,91,76,39,25,17,15
11/1/14,179,93,58,24,23,13
11/2/14,203,65,52,18,19,7
11/3/14,115,104,57,40,29,15
11/4/14,147,100,61,50,33,14
11/5/14,167,83,37,44,34,12
11/6/14,169,94,66,46,25,18
11/7/14,164,86,45,36,22,15
11/8/14,167,56,41,25,15,9
11/9/14,160,58,36,30,16,10
11/10/14,140,71,32,31,19,11
11/11/14,165,95,101,38,28,16
11/12/14,175,78,47,31,19,9
11/13/14,140,116,55,46,25,15
11/14/14,160,118,54,53,42,16
11/15/14,181,106,34,42,30,12
11/16/14,187,120,49,45,21,14
11/17/14,213,94,61,35,24,12
11/18/14,188,110,60,53,37,23
11/19/14,180,127,61,56,37,15
11/20/14,185,135,61,57,46,18
11/21/14,191,170,52,67,45,22
11/22/14,230,162,64,58,38,20
11/23/14,233,159,40,41,20,29
11/24/14,337,28,28,23,15,17
11/25/14,115,59,31,25,16,15
11/26/14,191,68,32,29,25,18
11/27/14,173,43,34,28,18,16
11/28/14,131,59,36,30,15,21
11/29/14,155,49,28,27,15,27
