date, pm25, pm10, o3, no2, so2, co
2020/1/9, 70, , , 40, , 
2020/1/10, 153, , , 38, , 
2020/1/11, 160, , , , , 
2020/1/13, 50, 44, , 37, , 
2020/1/14, 102, , , 37, , 
2020/1/15, 151, , , 38, , 
2020/1/16, 154, , , 31, , 
2020/1/17, 114, , , 35, , 
2020/1/18, 147, 17, , 35, , 
2020/1/19, 147, 17, , 22, , 
2020/1/20, 59, 8, , 12, , 
2020/1/21, 21, 13, , 20, , 
2020/1/22, 50, 45, , 37, , 
2020/1/23, 112, , , 37, , 
2020/1/24, 117, , , 36, , 
2020/1/25, 147, 24, , 20, , 
2020/1/26, 70, 33, , 28, , 
2020/1/27, 87, 42, , 31, , 
2020/1/28, 99, 21, , 26, , 
2020/1/29, 34, 30, , 35, , 
2020/1/30, 42, 34, , 33, , 
2020/1/31, 65, 19, , 31, , 
2020/2/1, 59, 13, , 23, , 
2019/10/2, 46, 17, , 26, , 
2019/10/3, 34, 9, , 24, , 
2019/10/4, 13, 14, , 30, , 
2019/10/5, 38, 15, , 22, , 
2019/10/6, 38, 14, , 22, , 
2019/10/7, 42, 10, , 15, , 
2019/10/8, 30, 15, , 35, , 
2019/10/9, 46, 16, , 23, , 
2019/10/10, 42, 17, , 23, , 
2019/10/11, 30, 20, , 24, , 
2019/10/12, 46, 23, , 20, , 
2019/10/13, 55, 18, , 12, , 
2019/10/14, 46, 29, , 27, , 
2019/10/15, 63, 27, , 20, , 
2019/10/16, 55, , , 29, , 
2019/10/18, 38, 20, , 24, , 
2019/10/19, 46, 20, , 22, , 
2019/10/20, 50, 22, , 23, , 
2019/10/21, 53, 26, , 22, , 
2019/10/22, 57, 26, , 24, , 
2019/10/23, 59, 26, , 22, , 
2019/10/24, 59, 30, , 27, , 
2019/10/25, 68, 19, , 16, , 
2019/10/26, 59, 24, , 23, , 
2019/10/27, 63, 26, , 27, , 
2019/10/28, 63, 35, , 32, , 
2019/10/29, 80, 26, , 30, , 
2019/10/30, 68, 19, , 27, , 
2019/10/31, 50, 8, , 10, , 
2019/11/1, 17, 8, , 8, , 
2019/11/2, 21, 18, , 21, , 
2019/11/3, 55, 11, , 17, , 
2019/11/4, 25, 16, , 23, , 
2019/11/5, 21, 13, , , , 
2019/11/6, 25, 10, , , , 
2019/11/7, 25, 20, , 27, , 
2019/11/8, 55, 12, , 27, , 
2019/11/9, 38, 12, , 23, , 
2019/11/10, 38, 16, , 18, , 
2019/11/11, 55, 10, , 20, , 
2019/11/12, 30, 9, , 16, , 
2019/11/13, 21, 13, , 23, , 
2019/11/14, 42, 21, , 26, , 
2019/11/15, 55, 11, , 31, , 
2019/11/16, 34, 10, , 23, , 
2019/11/17, 30, 11, , 26, , 
2019/11/18, 25, 15, , 27, , 
2019/11/19, 46, 14, , 29, , 
2019/11/20, 38, 21, , 31, , 
2019/11/21, 57, 24, , 27, , 
2019/11/22, 61, 41, , 30, , 
2019/11/23, 95, 25, , 24, , 
2019/11/24, 63, 8, , 10, , 
2019/11/25, 21, 12, , 25, , 
2019/11/26, 34, 31, , 35, , 
2019/11/27, 74, 35, , 26, , 
2019/11/28, 80, 16, , 19, , 
2019/11/29, 25, 21, , 33, , 
2019/11/30, 46, 32, , 22, , 
2019/12/1, 68, 35, , 23, , 
2019/12/2, 85, 14, , 27, , 
2019/12/3, 46, 6, , 11, , 
2019/12/4, 17, , , 13, , 
2019/12/7, 151, , , 28, , 
2019/12/8, 117, 28, , 23, , 
2019/12/9, 68, 17, , 31, , 
2019/12/10, 42, 12, , 24, , 
2019/12/11, 38, 10, , 21, , 
2019/12/12, 30, 20, , 23, , 
2019/12/13, 61, 24, , 27, , 
2019/12/14, 72, , , 34, , 
2019/12/15, 147, , , 28, , 
2019/12/16, 129, 45, , 27, , 
2019/12/17, 99, , , 35, , 
2019/12/18, 91, , , 39, , 
2019/12/19, 97, 33, , 29, , 
2019/12/20, 70, 31, , 28, , 
2019/12/21, 65, 12, , 15, , 
2019/12/22, 17, 13, , 30, , 
2019/12/23, 34, 30, , 32, , 
2019/12/24, 65, 45, , 33, , 
2019/12/25, 95, 30, , 23, , 
2019/12/26, 72, 40, , 24, , 
2019/12/27, 107, , , , , 
2019/12/29, 42, 10, , 23, , 
2019/12/30, 38, , , , , 
2019/7/2, 55, 21, , 29, , 
2019/7/3, 57, 25, , 26, , 
2019/7/4, 61, 13, , 8, , 
2019/7/5, 30, 19, , 23, , 
2019/7/6, 55, 20, , 12, , 
2019/7/7, 55, 25, , 13, , 
2019/7/8, 55, 26, , 17, , 
2019/7/9, 57, 25, , 19, , 
2019/7/10, 57, 13, , 6, , 
2019/7/11, 34, 14, , 19, , 
2019/7/12, 34, 19, , 22, , 
2019/7/13, 46, 16, , 15, , 
2019/7/14, 46, 7, , 8, , 
2019/7/15, 17, 8, , 9, , 
2019/7/16, 17, 12, , 7, , 
2019/7/17, 38, 13, , 21, , 
2019/7/18, 38, 14, , 16, , 
2019/7/19, 42, 18, , 22, , 
2019/7/20, 46, 18, , 11, , 
2019/7/21, 50, 15, , 7, , 
2019/7/22, 46, 20, , 20, , 
2019/7/23, 57, 21, , 27, , 
2019/7/24, 59, 20, , 31, , 
2019/7/25, 55, 21, , 27, , 
2019/7/26, 57, 22, , 17, , 
2019/7/27, 59, 16, , 21, , 
2019/7/28, 46, 9, , 6, , 
2019/7/29, 21, 21, , 11, , 
2019/7/30, 30, 22, , 8, , 
2019/7/31, 42, 21, , 16, , 
2019/8/1, 50, 19, , 19, , 
2019/8/2, 50, 20, , 23, , 
2019/8/3, 50, 11, , 12, , 
2019/8/4, 30, 11, , 13, , 
2019/8/5, 38, 16, , 27, , 
2019/8/6, 46, 19, , 14, , 
2019/8/7, 50, 18, , 16, , 
2019/8/8, 46, 30, , 10, , 
2019/8/9, 55, 25, , 14, , 
2019/8/10, 57, 16, , 10, , 
2019/8/11, 46, 15, , 12, , 
2019/8/12, 42, 20, , 16, , 
2019/8/13, 53, 18, , 16, , 
2019/8/14, 38, 11, , 9, , 
2019/8/15, 25, 10, , 4, , 
2019/8/16, 25, 9, , 4, , 
2019/8/17, 25, 12, , 13, , 
2019/8/18, 30, 15, , 9, , 
2019/8/19, 42, , , 9, , 
2019/8/21, 30, 15, , 25, , 
2019/8/22, 42, 18, , 5, , 
2019/8/23, 55, 14, , 13, , 
2019/8/24, 46, 13, , 11, , 
2019/8/25, 50, 18, , 13, , 
2019/8/26, 55, 21, , 22, , 
2019/8/27, 61, 24, , 20, , 
2019/8/28, 63, 23, , 23, , 
2019/8/29, 65, 23, , 22, , 
2019/8/30, 63, 26, , 43, , 
2019/8/31, 68, 27, , 34, , 
2019/9/1, 70, 23, , 17, , 
2019/9/2, 65, 26, , 27, , 
2019/9/3, 65, 13, , 13, , 
2019/9/4, 38, 10, , 8, , 
2019/9/5, 25, 14, , 27, , 
2019/9/6, 34, 11, , 8, , 
2019/9/7, 34, 9, , 10, , 
2019/9/8, 21, 12, , 12, , 
2019/9/9, 25, 11, , 20, , 
2019/9/10, 21, 12, , 22, , 
2019/9/11, 25, 10, , 10, , 
2019/9/12, 30, 15, , 31, , 
2019/9/13, 42, 12, , 33, , 
2019/9/14, 34, 10, , 8, , 
2019/9/15, 30, 11, , 22, , 
2019/9/16, 34, 19, , 26, , 
2019/9/17, 50, 17, , 24, , 
2019/9/18, 50, 24, , 19, , 
2019/9/19, 59, 12, , 9, , 
2019/9/20, 30, 12, , 7, , 
2019/9/21, 30, 10, , 9, , 
2019/9/22, 25, 10, , 10, , 
2019/9/23, 21, 9, , 24, , 
2019/9/24, 17, 14, , 22, , 
2019/9/25, 30, 16, , 20, , 
2019/9/26, 34, 20, , 19, , 
2019/9/27, 30, 24, , 26, , 
2019/9/28, 46, 22, , 26, , 
2019/9/29, 50, 16, , 19, , 
2019/9/30, 34, 17, , 22, , 
2019/10/1, 38, 21, , 18, , 
2019/4/2, 65, 29, , 38, , 
2019/4/3, 72, 22, , 30, , 
2019/4/4, 65, 10, , 23, , 
2019/4/5, 34, 11, , 32, , 
2019/4/6, 25, 16, , 29, , 
2019/4/7, 46, 20, , 25, , 
2019/4/8, 57, 13, , 21, , 
2019/4/9, 42, 16, , 24, , 
2019/4/10, 42, 14, , 22, , 
2019/4/11, 34, 15, , 22, , 
2019/4/12, 46, 8, , 23, , 
2019/4/13, 25, 10, , 10, , 
2019/4/14, 38, 10, , 12, , 
2019/4/15, 34, 12, , 11, , 
2019/4/16, 42, 20, , 29, , 
2019/4/17, 59, 24, , 30, , 
2019/4/18, 65, 22, , 36, , 
2019/4/19, 59, 11, , 17, , 
2019/4/20, 34, , , 24, , 
2019/4/22, 34, 16, , 5, , 
2019/4/23, 46, 18, , 25, , 
2019/4/24, 34, 30, , 23, , 
2019/4/25, 50, 38, , 18, , 
2019/4/26, 59, 33, , 19, , 
2019/4/27, 53, 13, , 11, , 
2019/4/28, 21, 15, , 21, , 
2019/4/29, 25, 8, , 22, , 
2019/4/30, 21, 12, , 22, , 
2019/5/1, 34, 10, , 11, , 
2019/5/2, 30, 15, , 22, , 
2019/5/3, 34, 14, , 23, , 
2019/5/4, 34, 12, , 16, , 
2019/5/5, 30, 7, , 10, , 
2019/5/6, 17, 5, , 16, , 
2019/5/7, 13, 10, , 17, , 
2019/5/8, 25, 16, , 26, , 
2019/5/9, 42, 12, , 21, , 
2019/5/10, 30, 19, , 25, , 
2019/5/11, 34, 16, , 18, , 
2019/5/12, 38, 3, , 8, , 
2019/5/13, 9, 5, , 7, , 
2019/5/14, 13, 10, , 7, , 
2019/5/15, 21, 5, , 7, , 
2019/5/16, 13, 8, , 16, , 
2019/5/17, 21, 13, , 23, , 
2019/5/18, 38, 7, , 15, , 
2019/5/19, 17, 8, , 13, , 
2019/5/20, 17, 9, , 22, , 
2019/5/21, 17, , , 24, , 
2019/5/23, 50, 18, , 19, , 
2019/5/24, 46, 18, , 18, , 
2019/5/25, 46, 15, , 17, , 
2019/5/26, 46, 9, , 7, , 
2019/5/27, 21, 5, , 6, , 
2019/5/28, 9, 11, , 25, , 
2019/5/29, 25, 8, , 25, , 
2019/5/30, 13, 4, , 7, , 
2019/5/31, 9, 8, , 8, , 
2019/6/1, 17, 10, , 27, , 
2019/6/2, 34, 13, , 11, , 
2019/6/3, 38, , , , , 
2019/6/5, 46, 14, , 16, , 
2019/6/6, 42, 18, , 25, , 
2019/6/7, 34, 20, , 21, , 
2019/6/8, 42, 27, , 25, , 
2019/6/9, 57, 28, , 11, , 
2019/6/10, 53, 43, , 26, , 
2019/6/11, 61, 43, , 14, , 
2019/6/12, 68, 30, , 17, , 
